School,District,Score,Avg. Score
Crofton House,Vancouver,10,10
Southridge,Surrey,10,10
St George's,Vancouver,10,10
Vancouver College,Vancouver,10,10
West Point Grey,Vancouver,10,10
York House,Vancouver,10,10
Corpus Christi,Vancouver,10,9.9
Holy Cross,Burnaby,10,9.9
Mulgrave,West Vancouver,10,9.8
St Michaels,Victoria,10,9.8
St Paul's,Richmond,10,9.8
Iqra Islamic,Surrey,10,9.7
Our Lady Of Mercy,Burnaby,10,9.7
Irwin Park,West Vancouver,10,9.6
Our Lady Of Sorrows,Vancouver,10,9.4
Our Lady Of Perpetual Help,Vancouver,10,9.2
Cedardale,West Vancouver,10,n/a
Diamond,Surrey,10,n/a
Collingwood,West Vancouver,9.9,9.9
Meadowridge,Maple Ridge,9.9,9.7
Timothy Christian,Chilliwack,9.9,n/a
Brockton Preparatory,North Vancouver,9.7,n/a
Star Of The Sea,Surrey,9.6,9.5
Richmond Christian,Richmond,9.6,9.4
Stratford Hall,Vancouver,9.6,9.1
Gleneagles,West Vancouver,9.6,8.5
Glenlyon Norfolk,Victoria,9.5,9.3
Halfmoon Bay,Halfmoon Bay,9.5,8.8
Cornerstone Christian,Richmond,9.5,n/a
West Bay,West Vancouver,9.4,9.8
St Pius X,North Vancouver,9.4,9.4
Caulfeild,West Vancouver,9.4,9.2
St Ann's,Kamloops,9.4,9.1
Sunrise Waldorf,Duncan,9.4,n/a
Khalsa (Surrey),Surrey,9.3,9.3
Ridgeview,West Vancouver,9.3,9.3
St Patrick's,Victoria,9.3,8.3
Christ Church Cathedral,Victoria,9.3,n/a
Maple Ridge Christian,Maple Ridge,9.3,n/a
St Michaels,Burnaby,9.2,9.5
Southpointe,Delta,9.2,9.2
St Joseph The Worker,Richmond,9.2,9.2
Jessie Wowk,Richmond,9.2,8.6
Immaculate Conception,Vancouver,9.2,7.9
Dr R E McKechnie,Vancouver,9.2,7.3
St Anthony's,Kitimat,9.2,n/a
St Augustine's,Vancouver,9.1,9.3
Our Lady Of Good Counsel,Surrey,9.1,9.2
St Francis de Sales,Burnaby,9.1,8.5
St Mary's,Chilliwack,9.1,7.7
Holy Cross,Penticton,9.1,n/a
St Francis Xavier,Vancouver,9,9.2
Vancouver Christian,Vancouver,9,8.6
Veritas,Terrace,9,8.6
Aberdeen Hall,Kelowna,9,n/a
Ebenezer,Smithers,9,n/a
Fernie Academy,Fernie,9,n/a
St John's,Vancouver,9,n/a
St Margaret's,Victoria,9,n/a
John Knox Christian,Burnaby,8.9,9.2
Selkirk Montessori,Victoria,8.9,n/a
Lions Gate Christian,North Vancouver,8.8,8.9
MEI,Abbotsford,8.8,8.8
Immaculate Conception,Delta,8.8,8.7
St Joseph's,Smithers,8.8,8.6
Aspengrove,Lantzville,8.8,n/a
Westcot,West Vancouver,8.7,9
Chartwell,West Vancouver,8.7,8.8
St Jude's,Vancouver,8.7,8.6
St James,Abbotsford,8.7,8.5
St Catherines,Langley,8.7,8.4
St Anthony Of Padua,Vancouver,8.7,8.1
Surrey Muslim,Surrey,8.7,n/a
Traditional Learning Academy,Coquitlam,8.7,n/a
Holy Trinity,North Vancouver,8.6,8.9
Sacred Heart,Delta,8.6,8.8
Hope Lutheran,Port Coquitlam,8.6,8.7
Pauline Johnson,West Vancouver,8.6,8.6
Archibald Blair,Richmond,8.6,8.4
St Andrew's,Vancouver,8.6,6.4
Nelson Waldorf,Nelson,8.6,n/a
Bradner,Abbotsford,8.5,8.7
Our Lady Of The Assumption,Port Coquitlam,8.5,8.3
Immaculate Conception,Prince George,8.5,7.7
James McKinney,Richmond,8.5,7.7
G.A.D.,Surrey,8.5,n/a
St Edmund's,North Vancouver,8.4,9
Dasmesh Punjabi,Abbotsford,8.4,8.5
St Anthony's,West Vancouver,8.4,8.5
St Joseph's,Victoria,8.4,8.5
Hollyburn,West Vancouver,8.4,8.4
Our Lady Of Fatima,Coquitlam,8.4,8.3
Credo Christian,Langley,8.3,8.7
Pacific Academy,Surrey,8.3,8.7
Auguston Traditional,Abbotsford,8.3,8.6
St Helen's,Burnaby,8.2,8.7
Vernon Christian,Vernon,8.2,8.1
St Michael's,Trail,8.2,7.8
Dr Thomas A Swift,Abbotsford,8.2,7.4
Frank Hobbs,Victoria,8.2,7.4
Upper Pine,Fort St John,8.2,7.4
BC Muslim,Richmond,8.2,n/a
Cloverdale Catholic,Surrey,8.1,8.4
Buckingham,Burnaby,8.1,7.9
St Mary's,Vancouver,8.1,7.9
St Bernadette,Surrey,8.1,7.5
Henry Anderson,Richmond,8.1,7.1
St Mary's,Prince George,8.1,7
Queen Of All Saints,Coquitlam,8,8.2
Kelowna Christian,Kelowna,8,8.1
Bowen Island,Bowen Island,8,8
St Joseph,Kelowna,8,7.9
Andre Piolat,North Vancouver,8,7.8
Campus View,Victoria,8,7.8
